"","sens","spec","kappa","mcc","prob"
"1",1,0,0,0,0.01
"2",1,0,0,0,0.02
"3",1,0,0,0,0.03
"4",1,0.09923273657289,0.0402771650273792,0.143361362768259,0.04
"5",0.998913043478261,0.483120204603581,0.262043795620438,0.387841894592045,0.05
"6",0.995652173913044,0.651406649616368,0.413508488773571,0.508977593799732,0.06
"7",0.995652173913044,0.728900255754476,0.503554923569143,0.57867091561171,0.07
"8",0.992391304347826,0.775703324808184,0.564123033575957,0.62450182724739,0.08
"9",0.992391304347826,0.80690537084399,0.609745390693591,0.660102447289553,0.09
"10",0.989130434782609,0.828388746803069,0.64133624257016,0.684131288380971,0.1
"11",0.989130434782609,0.843222506393862,0.665558935555612,0.703433037749148,0.11
"12",0.989130434782609,0.856521739130435,0.688083656322347,0.721543840615543,0.12
"13",0.98804347826087,0.869309462915601,0.709846479618846,0.738959391062433,0.13
"14",0.98695652173913,0.878772378516624,0.726277959555865,0.752188272367101,0.14
"15",0.98695652173913,0.88849104859335,0.744292237442922,0.76709492296344,0.15
"16",0.982608695652174,0.896675191815857,0.757185332011893,0.776985402290399,0.16
"17",0.981521739130435,0.902046035805627,0.766912703257673,0.784973181838914,0.17
"18",0.981521739130435,0.90997442455243,0.782545250456013,0.798255436617655,0.18
"19",0.981521739130435,0.914322250639386,0.791268989665104,0.805723796417985,0.19
"20",0.980434782608696,0.920460358056266,0.803100686824931,0.815740231750234,0.2
"21",0.978260869565217,0.924552429667519,0.810213742648114,0.821569068706406,0.21
"22",0.978260869565217,0.928900255754476,0.819310504128891,0.829523499813961,0.22
"23",0.978260869565217,0.932736572890026,0.827434013763466,0.836669885840618,0.23
"24",0.977173913043478,0.935294117647059,0.83222533240028,0.84075188131815,0.24
"25",0.975,0.937084398976982,0.83472307557272,0.842670199493879,0.25
"26",0.975,0.940409207161125,0.841928844457512,0.849097348757098,0.26
"27",0.973913043478261,0.942455242966752,0.845720355235594,0.8523561914427,0.27
"28",0.972826086956522,0.946291560102302,0.853495621196378,0.859229381638785,0.28
"29",0.971739130434783,0.947570332480818,0.855655071860029,0.861058289690805,0.29
"30",0.971739130434783,0.950383631713555,0.86194119053311,0.866771644907876,0.3
"31",0.971739130434783,0.951406649616368,0.864240392673291,0.868868501856515,0.31
"32",0.967391304347826,0.955242966751918,0.870194482134781,0.873885595048024,0.32
"33",0.967391304347826,0.956777493606138,0.873696618007072,0.877116635104602,0.33
"34",0.964130434782609,0.959079283887468,0.876924478454951,0.879814567584095,0.34
"35",0.958695652173913,0.961381074168798,0.878805459708693,0.881121661869316,0.35
"36",0.957608695652174,0.962404092071611,0.880491983845307,0.882619549621439,0.36
"37",0.956521739130435,0.963938618925831,0.883379866842574,0.885256296167691,0.37
"38",0.954347826086957,0.964450127877238,0.883193509726192,0.884929010365298,0.38
"39",0.951086956521739,0.965473145780051,0.883513097072419,0.885015491162888,0.39
"40",0.95,0.968030690537084,0.888847618163246,0.89002185789386,0.4
"41",0.948913043478261,0.968286445012788,0.88875809299588,0.88987520797655,0.41
"42",0.946739130434783,0.970076726342711,0.891617957965427,0.892498008760772,0.42
"43",0.945652173913043,0.971867007672634,0.895196506550218,0.895888665597413,0.43
"44",0.943478260869565,0.972378516624041,0.89502624343914,0.895630948076984,0.44
"45",0.942391304347826,0.973657289002558,0.897400563733166,0.897886175842763,0.45
"46",0.942391304347826,0.974424552429668,0.899250572261767,0.899681556002803,0.46
"47",0.93804347826087,0.975191815856777,0.898301886792453,0.898615449203493,0.47
"48",0.935869565217391,0.976726342710997,0.900618374558304,0.900820856771425,0.48
"49",0.932608695652174,0.977749360613811,0.900996677740864,0.901121011796657,0.49
"50",0.932608695652174,0.978772378516624,0.903495705638133,0.903583963945405,0.5
"51",0.930434782608696,0.979795396419437,0.904590945194599,0.90463625002364,0.51
"52",0.927173913043478,0.980306905370844,0.903724928366762,0.903745127072529,0.52
"53",0.923913043478261,0.980818414322251,0.902855319827724,0.902860385462451,0.53
"54",0.919565217391304,0.981841432225064,0.902531929195608,0.902533764318485,0.54
"55",0.917391304347826,0.982864450127877,0.903635721849629,0.903652341445736,0.55
"56",0.916304347826087,0.98388746803069,0.905460158209531,0.905500624948269,0.56
"57",0.914130434782609,0.984398976982097,0.905301810217097,0.905368919712814,0.57
"58",0.91304347826087,0.985933503836317,0.908415441770312,0.908546120591086,0.58
"59",0.910869565217391,0.98695652173913,0.909544321015643,0.909746543979628,0.59
"60",0.903260869565217,0.987212276214834,0.905144119845319,0.905464855068934,0.6
"61",0.9,0.987212276214834,0.902973905121364,0.903345964755719,0.61
"62",0.897826086956522,0.987979539641944,0.903452998141446,0.903921216191851,0.62
"63",0.896739130434783,0.988235294117647,0.903371079855105,0.903880847020293,0.63
"64",0.892391304347826,0.988235294117647,0.900460919878395,0.901057500697281,0.64
"65",0.892391304347826,0.988746803069054,0.901750368068052,0.902394888843453,0.65
"66",0.889130434782609,0.989002557544757,0.900206469373709,0.900949526818017,0.66
"67",0.884782608695652,0.989514066496164,0.898570724494825,0.899475824881316,0.67
"68",0.878260869565217,0.989769820971867,0.894806221987873,0.895919148720233,0.68
"69",0.873913043478261,0.989769820971867,0.891852634358907,0.893093081650289,0.69
"70",0.867391304347826,0.990281329923274,0.888697495693653,0.890218625797626,0.7
"71",0.865217391304348,0.99079283887468,0.888505441996284,0.890180731119852,0.71
"72",0.86304347826087,0.99156010230179,0.888962788068239,0.890843571940888,0.72
"73",0.855434782608696,0.991815856777494,0.8843728100911,0.88659630247451,0.73
"74",0.854347826086956,0.992583120204604,0.885575798094601,0.887991308863278,0.74
"75",0.845652173913043,0.99309462915601,0.880846063454759,0.883755821635134,0.75
"76",0.843478260869565,0.993606138107417,0.880637675310261,0.883764695713291,0.76
"77",0.839130434782609,0.99386189258312,0.878252662801672,0.881655280003424,0.77
"78",0.832608695652174,0.994373401534527,0.874983087538899,0.878854815962662,0.78
"79",0.826086956521739,0.99462915601023,0.871034506158179,0.875338129729588,0.79
"80",0.815217391304348,0.995140664961637,0.864617798546918,0.869720249535504,0.8
"81",0.808695652173913,0.99539641943734,0.860603572161774,0.866203859670197,0.81
"82",0.798913043478261,0.99539641943734,0.853550448314954,0.859813352140792,0.82
"83",0.789130434782609,0.99539641943734,0.846440397350994,0.85340357425134,0.83
"84",0.766304347826087,0.99539641943734,0.829624986942442,0.838368950069632,0.84
"85",0.754347826086956,0.995907928388747,0.82199649737303,0.831981836697449,0.85
"86",0.734782608695652,0.99616368286445,0.807829558704024,0.819749239699302,0.86
"87",0.722826086956522,0.99616368286445,0.798650568181818,0.811757852994421,0.87
"88",0.698913043478261,0.996675191815857,0.781312841137604,0.797271754566064,0.88
"89",0.66304347826087,0.997186700767263,0.753915233818859,0.774537414384528,0.89
"90",0.61304347826087,0.997442455242967,0.713016204913748,0.74080038288281,0.9
"91",0.56195652173913,0.99769820971867,0.669240767642786,0.705461745683453,0.91
"92",0.502173913043478,0.998209718670077,0.61580831726797,0.663599305014492,0.92
"93",0.434782608695652,0.99923273657289,0.552791237428234,0.616282865520829,0.93
"94",0.36304347826087,1,0.479925619136168,0.561894197307617,0.94
"95",0.278260869565217,1,0.384316495937831,0.48771528606591,0.95
"96",0.120652173913043,1,0.181765640803352,0.316177503318274,0.96
"97",0,1,0,0,0.97
"98",0,1,0,0,0.98
"99",0,1,0,0,0.99
"100",0,1,0,0,1
